"ABIO","ARCA biopharma, I",1.05,1.07,-0.02,"11/5/2014","2:34pm"
"ARCB","ArcBest Corporati",42.05,41.97,+0.06,"11/5/2014","2:37pm"
"ACGL","Arch Capital Grou",56.53,57.00,-0.20,"11/5/2014","2:36pm"
"ACAT","Arctic Cat Inc.",33.57,33.62,+0.09,"11/5/2014","2:36pm"
"ARDX","Ardelyx, Inc.",22.86,23.29,+0.44,"11/5/2014","2:36pm"
"ARNA","Arena Pharmaceuti",4.30,4.35,-0.01,"11/5/2014","2:36pm"
"ARCC","Ares Capital Corp",16.125,16.05,+0.205,"11/5/2014","2:37pm"
"AGII","Argo Group Intern",55.08,55.59,-0.24,"11/5/2014","2:36pm"
"AGIIL","Argo Group Intern",24.56,24.66,-0.06,"11/5/2014","2:30pm"
"ARGS","Argos Therapeutic",10.035,10.00,+0.045,"11/5/2014","2:35pm"
"ARIS","ARI Network Servi",3.22,3.07,-0.06,"11/5/2014","10:22am"
"ARIA","ARIAD Pharmaceuti",5.68,5.63,-0.20,"11/5/2014","2:37pm"
"ARKR","Ark Restaurants C",21.80,22.02,+0.14,"11/5/2014","1:52pm"
"ARMH","ARM Holdings plc",42.34,N/A,+0.24,"11/5/2014","2:37pm"
"ARTX","Arotech Corporati",3.02,3.09,-0.07,"11/5/2014","2:27pm"
"ARQL","ArQule, Inc.",1.06,1.07,-0.03,"11/5/2014","2:37pm"
"ARRY","Array BioPharma I",3.79,3.77,-0.02,"11/5/2014","2:37pm"
"ARRS","ARRIS Group, Inc.",30.22,30.54,-0.10,"11/5/2014","2:37pm"
"DWAT","Arrow DWA Tactica",10.2497,10.50,+0.0297,"11/5/2014","2:27pm"
"AROW","Arrow Financial C",27.15,27.26,+0.01,"11/5/2014","2:26pm"
"ARWR","Arrowhead Researc",6.30,6.48,-0.11,"11/5/2014","2:37pm"
"ARTNA","Artesian Resource",21.86,21.85,-0.13,"11/5/2014","2:35pm"
"ARTW","Art's-Way Manufac",5.5982,N/A,+0.0882,"11/5/2014","1:59pm"
"ARUN","Aruba Networks, I",21.41,N/A,-0.10,"11/5/2014","2:37pm"
"ASBB","ASB Bancorp, Inc.",20.04,20.04,+0.04,"11/5/2014","9:30am"
"ASNA","Ascena Retail Gro",12.37,12.34,+0.09,"11/5/2014","2:37pm"
"ASCMA","Ascent Capital Gr",63.54,64.31,-0.46,"11/5/2014","2:35pm"
"ASTI","Ascent Solar Tech",1.57,1.60,-0.04,"11/5/2014","2:29pm"
"APWC","Asia Pacific Wire",2.51,2.43,-0.07,"11/5/2014","10:57am"
"ASMI","ASM International",41.43,N/A,+0.0842,"11/5/2014","11:18am"
"ASML","ASML Holding N.V.",99.69,99.80,+0.73,"11/5/2014","2:35pm"
"AZPN","Aspen Technology,",36.48,N/A,+0.23,"11/5/2014","2:37pm"
"ASMB","Assembly Bioscien",7.995,7.99,+0.125,"11/5/2014","2:19pm"
"ASBC","Associated Banc-C",18.75,18.88,+0.02,"11/5/2014","2:37pm"
"ASBCW","Associated Banc-C",2.61,2.62,-0.03,"11/5/2014","9:35am"
"ASFI","Asta Funding, Inc",8.47,8.47,+0.14,"11/5/2014","1:44pm"
